path,width,height,format_or_mode,alpha,purpose
00_READ_ME_FIRST/BONUS_PANEL_REFERENCE.jpeg,1536,1024,RGB,no,BONUS PANEL REFERENCE
00_READ_ME_FIRST/ORIGINAL_CONCEPT_REFERENCE.jpeg,1448,1086,RGB,no,ORIGINAL CONCEPT REFERENCE
02_brand/loading/loading_bar_cap.png,96,96,RGBA,yes,loading bar cap
02_brand/loading/loading_bar_empty.png,1200,180,RGBA,yes,loading bar empty
02_brand/loading/loading_bar_fill.png,1080,64,RGBA,yes,loading bar fill
02_brand/loading/loading_screen_desktop_2048x1536.png,2048,1536,RGB,no,loading screen desktop 2048x1536
02_brand/loading/loading_screen_mobile_1080x1920.png,1080,1920,RGBA,yes,loading screen mobile 1080x1920
02_brand/loading/loading_screen_web_1440x1080.png,1440,1080,RGB,no,loading screen web 1440x1080
02_brand/logo/graveyard_shift_logo_1200x400.png,1200,400,RGBA,yes,graveyard shift logo 1200x400
02_brand/logo/graveyard_shift_logo_master.png,2172,724,RGBA,yes,graveyard shift logo master
02_brand/logo/graveyard_shift_logo_mobile.png,720,300,RGBA,yes,graveyard shift logo mobile
03_backgrounds/desktop/background_ante_2048x1536.png,2048,1536,RGB,no,background ante 2048x1536
03_backgrounds/desktop/background_base_2048x1536.png,2048,1536,RGB,no,background base 2048x1536
03_backgrounds/desktop/background_bonus_2048x1536.png,2048,1536,RGB,no,background bonus 2048x1536
03_backgrounds/desktop/background_boosted_2048x1536.png,2048,1536,RGB,no,background boosted 2048x1536
03_backgrounds/desktop/background_hidden_2048x1536.png,2048,1536,RGB,no,background hidden 2048x1536
03_backgrounds/desktop/background_maxzero_2048x1536.png,2048,1536,RGB,no,background maxzero 2048x1536
03_backgrounds/desktop/background_super_2048x1536.png,2048,1536,RGB,no,background super 2048x1536
03_backgrounds/mobile/background_ante_1080x1920.png,1080,1920,RGB,no,background ante 1080x1920
03_backgrounds/mobile/background_base_1080x1920.png,1080,1920,RGB,no,background base 1080x1920
03_backgrounds/mobile/background_bonus_1080x1920.png,1080,1920,RGB,no,background bonus 1080x1920
03_backgrounds/mobile/background_boosted_1080x1920.png,1080,1920,RGB,no,background boosted 1080x1920
03_backgrounds/mobile/background_hidden_1080x1920.png,1080,1920,RGB,no,background hidden 1080x1920
03_backgrounds/mobile/background_maxzero_1080x1920.png,1080,1920,RGB,no,background maxzero 1080x1920
03_backgrounds/mobile/background_super_1080x1920.png,1080,1920,RGB,no,background super 1080x1920
